,ADMINISTERING_IC,APPLICATION_TYPE,BUDGET_START,BUDGET_END,CORE_PROJECT_NUM,FY,SUPPORT_YEAR,TOTAL_COST,PMID,PubDate,PubTypeList,FullJournalName,GRID,GR_Star_year,GR_End_year,GR_Total_year,Pub_year,time_to_pub
17,CA,1,8/27/10,7/31/11,D43CA153715,2010,1,531157.0,22072021,2012 Jun 1,['Journal Article'],Cancer,D43CA153715,2010,2011,1,2012,2
18,CA,1,9/27/10,8/31/11,D43CA153722,2010,1,460134.0,26245249,2015 Oct,['Journal Article'],Cancer causes & control : CCC,D43CA153722,2010,2011,1,2015,5
19,CA,1,9/27/10,8/31/11,D43CA153722,2010,1,460134.0,25050734,2014,['Journal Article'],PloS one,D43CA153722,2010,2011,1,2014,4
20,CA,1,9/27/10,8/31/11,D43CA153722,2010,1,460134.0,24702763,2014,['Journal Article'],World health & population,D43CA153722,2010,2011,1,2014,4
21,CA,1,9/27/10,8/31/11,D43CA153722,2010,1,460134.0,24606092,2014 Jun,['Journal Article'],The Journal of clinical endocrinology and metabolism,D43CA153722,2010,2011,1,2014,4
22,CA,1,9/27/10,8/31/11,D43CA153722,2010,1,460134.0,24551134,2014,['Journal Article'],PloS one,D43CA153722,2010,2011,1,2014,4
23,CA,1,9/27/10,8/31/11,D43CA153722,2010,1,460134.0,24491164,2014 Apr,['Journal Article'],Medical teacher,D43CA153722,2010,2011,1,2014,4
24,CA,1,9/27/10,8/31/11,D43CA153722,2010,1,460134.0,23979153,2013 Sep,"['Comment', 'Journal Article']",The Journal of clinical investigation,D43CA153722,2010,2011,1,2013,3
25,CA,1,9/27/10,8/31/11,D43CA153722,2010,1,460134.0,23582578,2014 Jan-Feb,['Journal Article'],The Journal of the Association of Nurses in AIDS Care : JANAC,D43CA153722,2010,2011,1,2014,4
26,CA,1,8/1/10,7/31/11,D43CA153784,2010,1,535300.0,25885821,2015,['Journal Article'],PloS one,D43CA153784,2010,2011,1,2015,5
27,CA,1,9/7/10,8/31/11,D43CA153792,2010,1,539964.0,27050815,2016,['Journal Article'],PloS one,D43CA153792,2010,2011,1,2016,6
28,CA,1,9/7/10,8/31/11,D43CA153792,2010,1,539964.0,23767681,2013 Jun 14,['Journal Article'],BMC public health,D43CA153792,2010,2011,1,2013,3
29,CA,1,9/7/10,8/31/11,D43CA153792,2010,1,539964.0,22704971,2012 Oct,['Journal Article'],Cancer epidemiology,D43CA153792,2010,2011,1,2012,2
30,CA,1,9/7/10,8/31/11,D43CA153792,2010,1,539964.0,22621842,2012 Oct,['Journal Article'],Cancer epidemiology,D43CA153792,2010,2011,1,2012,2
31,TW,1,8/12/10,6/30/11,D43TW008261,2010,1,157198.0,26645579,2015 Dec,['Journal Article'],"Vector borne and zoonotic diseases (Larchmont, N.Y.)",D43TW008261,2010,2011,1,2015,5
32,TW,1,8/12/10,6/30/11,D43TW008261,2010,1,157198.0,26200787,2015 Nov,['Journal Article'],Acta tropica,D43TW008261,2010,2011,1,2015,5
33,TW,1,8/12/10,6/30/11,D43TW008261,2010,1,157198.0,25807468,2015 May,['Journal Article'],Memorias do Instituto Oswaldo Cruz,D43TW008261,2010,2011,1,2015,5
34,TW,1,7/1/10,6/30/11,D43TW008317,2010,1,219999.0,25713973,2015 Apr,['Journal Article'],American journal of public health,D43TW008317,2010,2011,1,2015,5
35,TW,1,7/1/10,6/30/11,D43TW008330,2010,1,220000.0,26426662,2015 Sep,['Journal Article'],Medicine,D43TW008330,2010,2011,1,2015,5
36,TW,1,7/1/10,6/30/11,D43TW008332,2010,1,214598.0,27145835,2016 May 4,['Journal Article'],International journal for equity in health,D43TW008332,2010,2011,1,2016,6
37,TW,1,7/1/10,6/30/11,D43TW008332,2010,1,214598.0,26812053,2016,['Journal Article'],PloS one,D43TW008332,2010,2011,1,2016,6
38,TW,1,7/1/10,6/30/11,D43TW008332,2010,1,214598.0,26712893,2016 Jan,['Journal Article'],Asia-Pacific journal of public health,D43TW008332,2010,2011,1,2016,6
39,TW,1,7/1/10,6/30/11,D43TW008332,2010,1,214598.0,26658485,2016 Jan,['Journal Article'],Asia-Pacific journal of public health,D43TW008332,2010,2011,1,2016,6
40,TW,1,7/1/10,6/30/11,D43TW008332,2010,1,214598.0,26658325,2016 Jan,['Journal Article'],Asia-Pacific journal of public health,D43TW008332,2010,2011,1,2016,6
41,TW,1,7/1/10,6/30/11,D43TW008332,2010,1,214598.0,26596285,2016 Jan,['Journal Article'],Asia-Pacific journal of public health,D43TW008332,2010,2011,1,2016,6
42,TW,1,7/1/10,6/30/11,D43TW008332,2010,1,214598.0,26512029,2016 Jan,"['Journal Article', 'Randomized Controlled Trial']",Asia-Pacific journal of public health,D43TW008332,2010,2011,1,2016,6
43,TW,1,7/1/10,6/30/11,D43TW008332,2010,1,214598.0,26489433,2016 Jan,['Journal Article'],Asia-Pacific journal of public health,D43TW008332,2010,2011,1,2016,6
44,TW,1,7/1/10,6/30/11,D43TW008332,2010,1,214598.0,26463576,2016 Jan,['Journal Article'],Asia-Pacific journal of public health,D43TW008332,2010,2011,1,2016,6
45,TW,1,7/1/10,6/30/11,D43TW008332,2010,1,214598.0,26423850,2015 Sep 30,"['Journal Article', 'Multicenter Study', 'Randomized Controlled Trial']",BMJ open,D43TW008332,2010,2011,1,2015,5
46,TW,1,7/1/10,6/30/11,D43TW008332,2010,1,214598.0,26419636,2016 Jan,['Journal Article'],Asia-Pacific journal of public health,D43TW008332,2010,2011,1,2016,6
47,TW,1,7/1/10,6/30/11,D43TW008332,2010,1,214598.0,26354334,2016 Jan,['Journal Article'],Asia-Pacific journal of public health,D43TW008332,2010,2011,1,2016,6
48,TW,1,7/1/10,6/30/11,D43TW008332,2010,1,214598.0,26316502,2016 Jan,['Journal Article'],Asia-Pacific journal of public health,D43TW008332,2010,2011,1,2016,6
49,TW,1,7/1/10,6/30/11,D43TW008332,2010,1,214598.0,26276364,2016 Jan,['Journal Article'],Asia-Pacific journal of public health,D43TW008332,2010,2011,1,2016,6
50,TW,1,7/1/10,6/30/11,D43TW008332,2010,1,214598.0,26276363,2016 Jan,['Journal Article'],Asia-Pacific journal of public health,D43TW008332,2010,2011,1,2016,6
51,TW,1,7/1/10,6/30/11,D43TW008332,2010,1,214598.0,26219560,2016 Jan,['Journal Article'],Asia-Pacific journal of public health,D43TW008332,2010,2011,1,2016,6
52,TW,1,7/1/10,6/30/11,D43TW008332,2010,1,214598.0,25831659,2014 Nov,['Journal Article'],JPMA. The Journal of the Pakistan Medical Association,D43TW008332,2010,2011,1,2014,4
53,TW,1,7/1/10,6/30/11,D43TW008332,2010,1,214598.0,25757948,2015 Mar 10,"['Journal Article', 'Review']",BMJ open,D43TW008332,2010,2011,1,2015,5
54,TW,1,7/1/10,6/30/11,D43TW008332,2010,1,214598.0,25595202,2015 Jan 17,['Journal Article'],International journal for equity in health,D43TW008332,2010,2011,1,2015,5
55,TW,1,7/1/10,6/30/11,D43TW008332,2010,1,214598.0,25318472,2015 Apr,['Journal Article'],Journal of primary care & community health,D43TW008332,2010,2011,1,2015,5
56,TW,1,5/1/10,4/30/11,D43TW008633,2010,1,299257.0,26696001,2016 Feb,['Journal Article'],Journal of urban health : bulletin of the New York Academy of Medicine,D43TW008633,2010,2011,1,2016,6
57,TW,1,5/1/10,4/30/11,D43TW008633,2010,1,299257.0,26605952,2016 Jan-Mar,['Journal Article'],Family & community health,D43TW008633,2010,2011,1,2016,6
58,TW,1,5/1/10,4/30/11,D43TW008633,2010,1,299257.0,26517265,2015,['Journal Article'],PloS one,D43TW008633,2010,2011,1,2015,5
59,TW,1,5/1/10,4/30/11,D43TW008633,2010,1,299257.0,26470596,2016 Feb,['Journal Article'],Journal of substance abuse treatment,D43TW008633,2010,2011,1,2016,6
60,TW,1,5/1/10,4/30/11,D43TW008633,2010,1,299257.0,26470596,2016 Feb,['Journal Article'],Journal of substance abuse treatment,D43TW008633,2010,2011,1,2016,6
61,TW,1,5/1/10,4/30/11,D43TW008633,2010,1,299257.0,26402356,2015 Sep,['Journal Article'],Journal of studies on alcohol and drugs,D43TW008633,2010,2011,1,2015,5
62,TW,1,5/1/10,4/30/11,D43TW008633,2010,1,299257.0,26260350,2015 Aug 10,['Journal Article'],BMJ open,D43TW008633,2010,2011,1,2015,5
63,TW,1,5/1/10,4/30/11,D43TW008633,2010,1,299257.0,25867795,2015 Nov,['Journal Article'],Drug and alcohol review,D43TW008633,2010,2011,1,2015,5
64,TW,1,5/1/10,4/30/11,D43TW008633,2010,1,299257.0,25695145,2015 May,['Journal Article'],The American journal of drug and alcohol abuse,D43TW008633,2010,2011,1,2015,5
65,TW,1,5/1/10,4/30/11,D43TW008633,2010,1,299257.0,25300503,2015 Apr,['Journal Article'],Journal of urban health : bulletin of the New York Academy of Medicine,D43TW008633,2010,2011,1,2015,5
66,TW,1,5/1/10,4/30/11,D43TW008633,2010,1,299257.0,25300503,2015 Apr,['Journal Article'],Journal of urban health : bulletin of the New York Academy of Medicine,D43TW008633,2010,2011,1,2015,5
67,TW,1,5/1/10,4/30/11,D43TW008633,2010,1,299257.0,25281235,2015 May,['Journal Article'],The International journal on drug policy,D43TW008633,2010,2011,1,2015,5
68,TW,1,5/1/10,4/30/11,D43TW008633,2010,1,299257.0,25117749,2015,['Journal Article'],AIDS care,D43TW008633,2010,2011,1,2015,5
69,TW,1,5/1/10,4/30/11,D43TW008633,2010,1,299257.0,24974368,2014 Sep,['Editorial'],The International journal on drug policy,D43TW008633,2010,2011,1,2014,4
70,TW,1,5/1/10,4/30/11,D43TW008633,2010,1,299257.0,24583278,2014 May,"['Journal Article', 'Review']",Microbes and infection,D43TW008633,2010,2011,1,2014,4
71,TW,1,5/1/10,4/30/11,D43TW008633,2010,1,299257.0,24520885,2014 Feb 12,"['Journal Article', 'Multicenter Study']",Harm reduction journal,D43TW008633,2010,2011,1,2014,4
72,TW,1,5/1/10,4/30/11,D43TW008633,2010,1,299257.0,24520885,2014 Feb 12,"['Journal Article', 'Multicenter Study']",Harm reduction journal,D43TW008633,2010,2011,1,2014,4
73,TW,1,5/1/10,4/30/11,D43TW008633,2010,1,299257.0,24366542,2014 Jun,['Journal Article'],Journal of immigrant and minority health,D43TW008633,2010,2011,1,2014,4
74,TW,1,5/1/10,4/30/11,D43TW008633,2010,1,299257.0,23785451,2013,"['Clinical Trial', 'Journal Article', 'Randomized Controlled Trial']",PloS one,D43TW008633,2010,2011,1,2013,3
75,TW,1,5/1/10,4/30/11,D43TW008633,2010,1,299257.0,23371839,2014 Jun,['Journal Article'],Journal of immigrant and minority health,D43TW008633,2010,2011,1,2014,4
76,TW,1,5/1/10,4/30/11,D43TW008633,2010,1,299257.0,22806453,2013 Apr,['Journal Article'],Journal of urban health : bulletin of the New York Academy of Medicine,D43TW008633,2010,2011,1,2013,3
77,TW,1,5/1/10,4/30/11,D43TW008633,2010,1,299257.0,22694837,2012 Jun 13,['Journal Article'],BMC public health,D43TW008633,2010,2011,1,2012,2
78,TW,1,5/1/10,4/30/11,D43TW008633,2010,1,299257.0,22626001,2012 Jun,['Journal Article'],Annals of epidemiology,D43TW008633,2010,2011,1,2012,2
79,TW,1,6/1/10,5/31/11,D43TW008650,2010,1,148834.0,26537951,2015 Nov 4,"['Journal Article', 'Multicenter Study']",BMC infectious diseases,D43TW008650,2010,2011,1,2015,5
80,TW,1,6/1/10,5/31/11,D43TW008650,2010,1,148834.0,25184688,2014 Nov,['Journal Article'],Foodborne pathogens and disease,D43TW008650,2010,2011,1,2014,4
81,TW,1,6/1/10,5/31/11,D43TW008652,2010,1,131655.0,26968167,2016 Mar 12,['Journal Article'],Malaria journal,D43TW008652,2010,2011,1,2016,6
82,TW,1,8/15/10,7/31/11,D43TW008660,2010,1,93309.0,26818913,2016 Jan 27,"['Journal Article', 'Randomized Controlled Trial']",Trials,D43TW008660,2010,2011,1,2016,6
83,TW,1,8/15/10,7/31/11,D43TW008660,2010,1,93309.0,26580329,2015 Nov 19,['Journal Article'],Nature,D43TW008660,2010,2011,1,2015,5
84,TW,1,8/15/10,7/31/11,D43TW008660,2010,1,93309.0,26486857,2015 Oct 21,"['Journal Article', 'Randomized Controlled Trial']",BMC neurology,D43TW008660,2010,2011,1,2015,5
85,TW,1,8/15/10,7/31/11,D43TW008660,2010,1,93309.0,26311325,2015 Aug 28,"['Journal Article', 'Randomized Controlled Trial']",BMC neurology,D43TW008660,2010,2011,1,2015,5
86,TW,1,8/15/10,7/31/11,D43TW008660,2010,1,93309.0,26259954,2015 Aug 11,['Journal Article'],BMC research notes,D43TW008660,2010,2011,1,2015,5
87,TW,1,8/15/10,7/31/11,D43TW008660,2010,1,93309.0,25823197,2014 Sep,['Journal Article'],JPMA. The Journal of the Pakistan Medical Association,D43TW008660,2010,2011,1,2014,4
88,TW,1,8/15/10,7/31/11,D43TW008660,2010,1,93309.0,25823169,2014 Oct,['Journal Article'],JPMA. The Journal of the Pakistan Medical Association,D43TW008660,2010,2011,1,2014,4
89,TW,1,8/15/10,7/31/11,D43TW008660,2010,1,93309.0,25777834,2015 Apr,['Letter'],International journal of stroke : official journal of the International Stroke Society,D43TW008660,2010,2011,1,2015,5
90,TW,1,8/15/10,7/31/11,D43TW008660,2010,1,93309.0,25440346,2015 Jan,['Journal Article'],Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,D43TW008660,2010,2011,1,2015,5
91,TW,1,8/15/10,7/31/11,D43TW008660,2010,1,93309.0,25252532,2014 Aug,['Journal Article'],JPMA. The Journal of the Pakistan Medical Association,D43TW008660,2010,2011,1,2014,4
92,TW,1,8/15/10,7/31/11,D43TW008660,2010,1,93309.0,25124284,2014 Aug 15,['Journal Article'],BMC neurology,D43TW008660,2010,2011,1,2014,4
93,TW,1,8/15/10,7/31/11,D43TW008660,2010,1,93309.0,25088165,2014 Sep,['Journal Article'],Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,D43TW008660,2010,2011,1,2014,4
94,TW,1,8/15/10,7/31/11,D43TW008660,2010,1,93309.0,24601208,2013 Sep,['Journal Article'],JPMA. The Journal of the Pakistan Medical Association,D43TW008660,2010,2011,1,2013,3
95,TW,1,8/15/10,7/31/11,D43TW008660,2010,1,93309.0,24397109,2013 Dec,"['Comment', 'Journal Article']",JPMA. The Journal of the Pakistan Medical Association,D43TW008660,2010,2011,1,2013,3
96,TW,1,8/15/10,7/31/11,D43TW008660,2010,1,93309.0,24392571,2013 Oct,"['Comment', 'Journal Article']",JPMA. The Journal of the Pakistan Medical Association,D43TW008660,2010,2011,1,2013,3
97,TW,1,8/15/10,7/31/11,D43TW008660,2010,1,93309.0,24392546,2013 Nov,['Letter'],JPMA. The Journal of the Pakistan Medical Association,D43TW008660,2010,2011,1,2013,3
98,TW,1,8/15/10,7/31/11,D43TW008660,2010,1,93309.0,24139054,2013 Oct 18,"['Journal Article', 'Review']",BMC neurology,D43TW008660,2010,2011,1,2013,3
99,TW,1,8/15/10,7/31/11,D43TW008660,2010,1,93309.0,24119368,2014 Jan,['Journal Article'],Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,D43TW008660,2010,2011,1,2014,4
100,TW,1,8/15/10,7/31/11,D43TW008660,2010,1,93309.0,23901725,2013 Jul,"['Journal Article', 'Multicenter Study', 'Randomized Controlled Trial']",JPMA. The Journal of the Pakistan Medical Association,D43TW008660,2010,2011,1,2013,3
101,TW,1,8/15/10,7/31/11,D43TW008660,2010,1,93309.0,23901691,2013 Jun,"['Journal Article', 'Multicenter Study', 'Randomized Controlled Trial']",JPMA. The Journal of the Pakistan Medical Association,D43TW008660,2010,2011,1,2013,3
102,DA,1,9/30/10,7/31/11,DP1DA031126,2010,1,965000.0,22140357,2011 Nov,['Journal Article'],PLoS biology,DP1DA031126,2010,2011,1,2011,1
103,DA,1,9/30/10,7/31/11,DP1DA031126,2010,1,965000.0,22140357,2011 Nov,['Journal Article'],PLoS biology,DP1DA031126,2010,2011,1,2011,1
104,DA,1,9/30/10,7/31/11,DP1DA031340,2010,1,788500.0,23840704,2013,['Journal Article'],PloS one,DP1DA031340,2010,2011,1,2013,3
105,DA,1,9/30/10,7/31/11,DP1DA031386,2010,1,785000.0,25692880,2015,['Journal Article'],Human vaccines & immunotherapeutics,DP1DA031386,2010,2011,1,2015,5
106,DA,1,9/30/10,7/31/11,DP1DA031386,2010,1,785000.0,25445957,2014 Dec,['Journal Article'],International immunopharmacology,DP1DA031386,2010,2011,1,2014,4
107,DA,1,9/30/10,7/31/11,DP1DA031386,2010,1,785000.0,22401638,2012 Mar,['Journal Article'],Immunotherapy,DP1DA031386,2010,2011,1,2012,2
108,DA,1,9/30/10,7/31/11,DP1DA031386,2010,1,785000.0,21606176,2011 Aug,['Journal Article'],The Journal of pharmacology and experimental therapeutics,DP1DA031386,2010,2011,1,2011,1
109,DA,1,9/30/10,7/31/11,DP1DA031387,2010,1,765000.0,25882247,2015 Jul,['Journal Article'],Pharmacological research,DP1DA031387,2010,2011,1,2015,5
110,DA,1,9/30/10,7/31/11,DP1DA031387,2010,1,765000.0,25754762,2015 Aug,['Journal Article'],Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,DP1DA031387,2010,2011,1,2015,5
111,DA,1,9/30/10,7/31/11,DP1DA031387,2010,1,765000.0,25338703,2015 Feb,['Journal Article'],ChemMedChem,DP1DA031387,2010,2011,1,2015,5
112,DA,1,9/30/10,7/31/11,DP1DA031387,2010,1,765000.0,22774772,2012 Dec,['Journal Article'],British journal of pharmacology,DP1DA031387,2010,2011,1,2012,2
113,DA,1,9/30/10,7/31/11,DP1DA031387,2010,1,765000.0,22420940,2012 May,['Journal Article'],Pharmacological research,DP1DA031387,2010,2011,1,2012,2
114,DA,1,9/30/10,7/31/11,DP1DA031401,2010,1,750000.0,24996068,2014 Aug 15,['Journal Article'],"Journal of chromatography. B, Analytical technologies in the biomedical and life sciences",DP1DA031401,2010,2011,1,2014,4
115,OD,1,9/30/10,7/31/11,DP1OD006779,2010,1,830000.0,23867606,2013 Jul 17,['Journal Article'],International journal of molecular sciences,DP1OD006779,2010,2011,1,2013,3
116,OD,1,9/30/10,7/31/11,DP1OD006798,2010,1,785000.0,23055496,2012 Oct 10,['Journal Article'],The Journal of neuroscience : the official journal of the Society for Neuroscience,DP1OD006798,2010,2011,1,2012,2
117,OD,1,9/30/10,7/31/11,DP1OD006798,2010,1,785000.0,22723703,2012 Jun 20,['Journal Article'],The Journal of neuroscience : the official journal of the Society for Neuroscience,DP1OD006798,2010,2011,1,2012,2
118,OD,1,9/30/10,7/31/11,DP1OD006798,2010,1,785000.0,22723703,2012 Jun 20,['Journal Article'],The Journal of neuroscience : the official journal of the Society for Neuroscience,DP1OD006798,2010,2011,1,2012,2
119,OD,1,9/30/10,7/31/11,DP1OD006798,2010,1,785000.0,22723703,2012 Jun 20,['Journal Article'],The Journal of neuroscience : the official journal of the Society for Neuroscience,DP1OD006798,2010,2011,1,2012,2
120,OD,1,9/30/10,7/31/11,DP1OD006798,2010,1,785000.0,22723703,2012 Jun 20,['Journal Article'],The Journal of neuroscience : the official journal of the Society for Neuroscience,DP1OD006798,2010,2011,1,2012,2
121,OD,1,9/30/10,7/31/11,DP1OD006798,2010,1,785000.0,22328184,2012 May,['Journal Article'],IEEE transactions on neural systems and rehabilitation engineering : a publication of the IEEE Engineering in Medicine and Biology Society,DP1OD006798,2010,2011,1,2012,2
122,OD,1,9/30/10,7/31/11,DP1OD006798,2010,1,785000.0,22207642,2012 Jan,['Journal Article'],IEEE transactions on neural systems and rehabilitation engineering : a publication of the IEEE Engineering in Medicine and Biology Society,DP1OD006798,2010,2011,1,2012,2
123,OD,1,9/30/10,7/31/11,DP1OD006798,2010,1,785000.0,21976021,2011 Oct 5,['Journal Article'],Nature,DP1OD006798,2010,2011,1,2011,1
124,OD,1,9/30/10,7/31/11,DP1OD006798,2010,1,785000.0,21919788,2011 Dec,['Journal Article'],Neural computation,DP1OD006798,2010,2011,1,2011,1
125,OD,1,9/30/10,7/31/11,DP1OD006825,2010,1,827500.0,23801669,2012 Jan-Feb,"['Journal Article', 'Review']",Wiley interdisciplinary reviews. Developmental biology,DP1OD006825,2010,2011,1,2012,2
126,OD,1,9/30/10,7/31/11,DP1OD006825,2010,1,827500.0,21106531,2011 Feb 4,['Journal Article'],The Journal of biological chemistry,DP1OD006825,2010,2011,1,2011,1
127,OD,1,9/30/10,7/31/11,DP1OD006849,2010,1,847500.0,26404840,2015 Sep 25,['Journal Article'],"Science (New York, N.Y.)",DP1OD006849,2010,2011,1,2015,5
128,OD,1,9/30/10,7/31/11,DP1OD006849,2010,1,847500.0,24670762,2014 Mar 27,['Journal Article'],Nature,DP1OD006849,2010,2011,1,2014,4
129,OD,1,9/30/10,7/31/11,DP1OD006850,2010,1,827500.0,22905184,2012,['Journal Article'],PloS one,DP1OD006850,2010,2011,1,2012,2
130,OD,1,9/30/10,7/31/11,DP1OD006850,2010,1,827500.0,22682514,2012 Aug,['Journal Article'],Trends in molecular medicine,DP1OD006850,2010,2011,1,2012,2
131,OD,1,9/30/10,7/31/11,DP1OD006862,2010,1,885000.0,21924156,2011,['Journal Article'],Methods in cell biology,DP1OD006862,2010,2011,1,2011,1
132,OD,1,9/30/10,7/31/11,DP1OD006911,2010,1,848000.0,22923694,2012 Oct 9,['Journal Article'],Proceedings of the National Academy of Sciences of the United States of America,DP1OD006911,2010,2011,1,2012,2
133,OD,1,9/30/10,7/31/11,DP1OD006933,2010,1,775455.0,26878343,2016 Mar 10,['Journal Article'],Journal of medicinal chemistry,DP1OD006933,2010,2011,1,2016,6
134,OD,1,9/30/10,7/31/11,DP1OD006933,2010,1,775455.0,25844895,2015 May 14,['Journal Article'],Journal of medicinal chemistry,DP1OD006933,2010,2011,1,2015,5
135,OD,1,9/30/10,7/31/11,DP1OD006933,2010,1,775455.0,25323927,2014 Nov,"['Journal Article', 'Review']",Nature reviews. Drug discovery,DP1OD006933,2010,2011,1,2014,4
136,OD,1,9/30/10,7/31/11,DP1OD006933,2010,1,775455.0,23244564,2013 Jan 10,['Journal Article'],Journal of medicinal chemistry,DP1OD006933,2010,2011,1,2013,3
137,OD,1,9/30/10,7/31/11,DP1OD006961,2010,1,810000.0,25760931,2015 May,"['Journal Article', 'Review']",Current opinion in HIV and AIDS,DP1OD006961,2010,2011,1,2015,5
138,OD,1,9/30/10,7/31/11,DP1OD006961,2010,1,810000.0,25036289,2014 Sep 9,['Journal Article'],Journal of molecular biology,DP1OD006961,2010,2011,1,2014,4
139,OD,1,9/30/10,7/31/11,DP1OD006961,2010,1,810000.0,24529371,2014 Feb 13,"['Journal Article', 'Review']",Cell,DP1OD006961,2010,2011,1,2014,4
140,OD,1,9/30/10,7/31/11,DP1OD006961,2010,1,810000.0,23754383,2013 Jun 25,['Journal Article'],Proceedings of the National Academy of Sciences of the United States of America,DP1OD006961,2010,2011,1,2013,3
141,OD,1,9/30/10,7/31/11,DP1OD006961,2010,1,810000.0,22745174,2012 Jul 24,['Journal Article'],Proceedings of the National Academy of Sciences of the United States of America,DP1OD006961,2010,2011,1,2012,2
142,OD,1,9/30/10,7/31/11,DP1OD006990,2010,1,949500.0,22751204,2012 Jul 1,['Journal Article'],Nature methods,DP1OD006990,2010,2011,1,2012,2
143,OD,1,1/1/10,8/31/14,DP2OD006663,2010,1,2672711.0,26829497,2016 Feb,['Journal Article'],PLoS computational biology,DP2OD006663,2010,2014,4,2016,6
144,OD,1,1/1/10,8/31/14,DP2OD006663,2010,1,2672711.0,25972005,2015 May 13,['Journal Article'],Science translational medicine,DP2OD006663,2010,2014,4,2015,5
145,OD,1,1/1/10,8/31/14,DP2OD006663,2010,1,2672711.0,24679722,2014 Mar 20,['Journal Article'],Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin,DP2OD006663,2010,2014,4,2014,4
146,OD,1,1/1/10,8/31/14,DP2OD006663,2010,1,2672711.0,24558181,2014 Apr,['Journal Article'],The European respiratory journal,DP2OD006663,2010,2014,4,2014,4
147,OD,1,1/1/10,8/31/14,DP2OD006663,2010,1,2672711.0,23690585,2013 Jun 4,['Journal Article'],Proceedings of the National Academy of Sciences of the United States of America,DP2OD006663,2010,2014,4,2013,3
148,OD,1,1/1/10,8/31/14,DP2OD006663,2010,1,2672711.0,23576815,2013 Apr 10,['Journal Article'],Science translational medicine,DP2OD006663,2010,2014,4,2013,3
